source,sourcery_rule,refurb_2_3_1_check,status,mapping_confidence
Sourcery,skip-sorted-list-construction,,missing,
Sourcery,split-or-ifs,,missing,
Sourcery,square-identity,,missing,
Sourcery,str-prefix-suffix,,missing,
Sourcery,sum-comprehension,,missing,
Sourcery,swap-if-else-branches,,missing,
Sourcery,swap-if-expression,,missing,
Sourcery,swap-nested-ifs,,missing,
Sourcery,swap-variable,,missing,
Sourcery,switch,,missing,
Sourcery,ternary-to-if-expression,,missing,
Sourcery,tuple-literal,,missing,
Sourcery,unwrap-iterable-construction,,missing,
Sourcery,use-any,,missing,
Sourcery,use-assigned-variable,,missing,
Sourcery,use-contextlib.suppress,use-with-suppress,covered,strong
Sourcery,use-count,,missing,
Sourcery,use-datetime-now-not-today,,missing,
Sourcery,use-dictionary-items,no-ignored-dict-items,covered,strong
Sourcery,use-dictionary-union,use-dict-union,covered,strong
Sourcery,use-file-iterator,simplify-readlines,covered,strong
Sourcery,use-fstring-for-concatenation,,missing,
Sourcery,use-fstring-for-formatting,use-fstring-format,covered,strong
Sourcery,use-getitem-for-re-match-groups,,missing,
Sourcery,use-isna,,missing,
Sourcery,use-itertools.product,,missing,
Sourcery,use-str.join(),,missing,
Sourcery,use-len(),no-len-compare,covered,strong
Sourcery,use-named-expression,,missing,
Sourcery,use-next,,missing,
Sourcery,use-or-for-fallback,use-or-oper,covered,strong
Sourcery,use-string-remove-affix,remove-prefix-or-suffix,covered,strong
Sourcery,use_iloc,,missing,
Sourcery,useless-else-on-loop,,missing,
Sourcery,while-guard-to-condition,,missing,
Sourcery,replace-while-with-for,,missing,
Sourcery,yield-from,,missing,
Refurb-only,,use-pathlib-with-suffix,only refurb,
Refurb-only,,use-pathlib-read-text-read-bytes,only refurb,
Refurb-only,,use-startswith-endswith-tuple,only refurb,
Refurb-only,,use-pathlib-write-text-write-bytes,only refurb,
Refurb-only,,use-pathlib-cwd,only refurb,
Refurb-only,,simplify-print,only refurb,
Refurb-only,,use-expandtabs,only refurb,
Refurb-only,,use-in-oper,only refurb,
Refurb-only,,use-consistent-in-bracket,only refurb,
Refurb-only,,use-func-name,only refurb,
Refurb-only,,no-double-not,only refurb,
Refurb-only,,use-fstring-number-format,only refurb,
Refurb-only,,use-pathlib-open,only refurb,
Refurb-only,,use-operator,only refurb,
Refurb-only,,use-isinstance-issubclass-tuple,only refurb,
Refurb-only,,use-writelines,only refurb,
Refurb-only,,no-redundant-return,only refurb,
Refurb-only,,simplify-return,only refurb,
Refurb-only,,no-with-assign,only refurb,
Refurb-only,,use-tuple-unpack-swap,only refurb,
Refurb-only,,no-in-dict-keys,only refurb,
Refurb-only,,use-clear,only refurb,
Refurb-only,,use-set-discard,only refurb,
Refurb-only,,use-cache,only refurb,
Refurb-only,,use-min-max,only refurb,
Refurb-only,,simplify-comprehension,only refurb,
Refurb-only,,no-multiline-strip,only refurb,
Refurb-only,,use-starmap,only refurb,
Refurb-only,,use-pathlib-exists,only refurb,
Refurb-only,,no-set-for-loop,only refurb,
Refurb-only,,no-default-or,only refurb,
Refurb-only,,use-pathlib-unlink,only refurb,
Refurb-only,,no-slice-copy,only refurb,
Refurb-only,,use-pathlib-is-funcs,only refurb,
Refurb-only,,no-path-join,only refurb,
Refurb-only,,use-pathlib-mkdir,only refurb,
Refurb-only,,use-pathlib-touch,only refurb,
Refurb-only,,use-math-constant,only refurb,
Refurb-only,,simplify-path-constructor,only refurb,
Refurb-only,,simplify-global-and-nonlocal,only refurb,
Refurb-only,,use-pathlib-stat,only refurb,
Refurb-only,,use-string-charsets,only refurb,
Refurb-only,,simplify-decimal-ctor,only refurb,
Refurb-only,,simplify-as-pattern-with-builtin,only refurb,
Refurb-only,,simplify-strip,only refurb,
Refurb-only,,no-redundant-assignment,only refurb,
Refurb-only,,use-bit-count,only refurb,
Refurb-only,,simplify-fromisoformat,only refurb,
Refurb-only,,simplify-math-log,only refurb,
Refurb-only,,no-from-float,only refurb,
Refurb-only,,no-temp-class-object,only refurb,
Refurb-only,,use-int-base-zero,only refurb,
Refurb-only,,use-long-regex-flag,only refurb,
Refurb-only,,no-is-type-none,only refurb,
Refurb-only,,use-regex-pattern-methods,only refurb,
Refurb-only,,no-single-item-in,only refurb,
Refurb-only,,use-suffix,only refurb,
Refurb-only,,simplify-token-function,only refurb,
Refurb-only,,simplify-fastapi-query,only refurb,
Refurb-only,,no-implicit-cwd,only refurb,
Refurb-only,,use-shlex-join,only refurb,
Refurb-only,,use-chain-from-iterable,only refurb,
Refurb-only,,use-abc-shorthand,only refurb,
Refurb-only,,use-hexdigest-hashlib,only refurb,
Refurb-only,,simplify-hashlib-ctor,only refurb,
Refurb-only,,use-str-func,only refurb,
Refurb-only,,use-fluid-interface,only refurb,
Refurb-only,,no-copy-with-merge,only refurb,
Refurb-only,,use-sort,only refurb,
Refurb-only,,use-reverse,only refurb,
Refurb-only,,no-subclass-builtin,only refurb,
Refurb-only,,use-str-method,only refurb,
Refurb-only,,use-isinstance-bool,only refurb,
Refurb-only,,no-sorted-min-max,only refurb,
